,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
6,POR,42.0,Rick Adelman,1988-89,3.0,0.0,3.0,0.0,35,14.0,21.0,0.4,5.0
7,POR,43.0,Rick Adelman,1989-90,21.0,12.0,9.0,0.5710000000000001,82,59.0,23.0,0.72,2.0
8,POR,44.0,Rick Adelman,1990-91,16.0,9.0,7.0,0.563,82,63.0,19.0,0.768,1.0
9,POR,45.0,Rick Adelman,1991-92,21.0,13.0,8.0,0.619,82,57.0,25.0,0.695,1.0
10,POR,46.0,Rick Adelman,1992-93,4.0,1.0,3.0,0.25,82,51.0,31.0,0.622,3.0
11,POR,47.0,Rick Adelman,1993-94,4.0,1.0,3.0,0.25,82,47.0,35.0,0.573,4.0
12,GSW,49.0,Rick Adelman,1995-96,,,,,82,36.0,46.0,0.439,6.0
13,GSW,50.0,Rick Adelman,1996-97,,,,,82,30.0,52.0,0.366,7.0
14,SAC,52.0,Rick Adelman,1998-99,5.0,2.0,3.0,0.4,50,27.0,23.0,0.54,4.0
15,SAC,53.0,Rick Adelman,1999-00,5.0,2.0,3.0,0.4,82,44.0,38.0,0.537,5.0
16,SAC,54.0,Rick Adelman,2000-01,8.0,3.0,5.0,0.375,82,55.0,27.0,0.6709999999999999,2.0
17,SAC,55.0,Rick Adelman,2001-02,16.0,10.0,6.0,0.625,82,61.0,21.0,0.7440000000000001,1.0
18,SAC,56.0,Rick Adelman,2002-03,12.0,7.0,5.0,0.583,82,59.0,23.0,0.72,1.0
19,SAC,57.0,Rick Adelman,2003-04,12.0,7.0,5.0,0.583,82,55.0,27.0,0.6709999999999999,2.0
20,SAC,58.0,Rick Adelman,2004-05,5.0,1.0,4.0,0.2,82,50.0,32.0,0.61,2.0
21,SAC,59.0,Rick Adelman,2005-06,6.0,2.0,4.0,0.33299999999999996,82,44.0,38.0,0.537,4.0
22,HOU,61.0,Rick Adelman,2007-08,6.0,2.0,4.0,0.33299999999999996,82,55.0,27.0,0.6709999999999999,3.0
23,HOU,62.0,Rick Adelman,2008-09,13.0,7.0,6.0,0.5379999999999999,82,53.0,29.0,0.6459999999999999,2.0
24,HOU,63.0,Rick Adelman,2009-10,,,,,82,42.0,40.0,0.512,3.0
25,HOU,64.0,Rick Adelman,2010-11,,,,,82,43.0,39.0,0.524,5.0
26,MIN,65.0,Rick Adelman,2011-12,,,,,66,26.0,40.0,0.39399999999999996,5.0
27,MIN,66.0,Rick Adelman,2012-13,,,,,82,31.0,51.0,0.37799999999999995,5.0
28,MIN,67.0,Rick Adelman,2013-14,,,,,82,40.0,42.0,0.488,3.0
29,,,Rick Adelman,Career,157.0,79.0,78.0,0.503,1791,1042.0,749.0,0.5820000000000001,
2,DET,42.0,Richie Adubato,1979-80,,,,,70,12.0,58.0,0.171,6.0
10,DAL,52.0,Richie Adubato,1989-90,3.0,0.0,3.0,0.0,71,42.0,29.0,0.5920000000000001,3.0
11,DAL,53.0,Richie Adubato,1990-91,,,,,82,28.0,54.0,0.341,6.0
12,DAL,54.0,Richie Adubato,1991-92,,,,,82,22.0,60.0,0.268,5.0
13,DAL,55.0,Richie Adubato,1992-93,,,,,29,2.0,27.0,0.069,6.0
18,ORL,59.0,Richie Adubato,1996-97,5.0,2.0,3.0,0.4,33,21.0,12.0,0.636,3.0
19,,,Richie Adubato,Career,8.0,2.0,6.0,0.25,367,127.0,240.0,0.34600000000000003,
0,PHO,37.0,Danny Ainge,1996-97,5.0,2.0,3.0,0.4,74,40.0,34.0,0.541,4.0
1,PHO,38.0,Danny Ainge,1997-98,4.0,1.0,3.0,0.25,82,56.0,26.0,0.6829999999999999,3.0
