,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
0,POR,42.0,Rick Adelman,1989,3.0,0.0,3.0,0.0,35,14.0,21.0,0.4,5.0
1,POR,43.0,Rick Adelman,1990,21.0,12.0,9.0,0.5710000000000001,82,59.0,23.0,0.72,2.0
2,POR,44.0,Rick Adelman,1991,16.0,9.0,7.0,0.563,82,63.0,19.0,0.768,1.0
3,POR,45.0,Rick Adelman,1992,21.0,13.0,8.0,0.619,82,57.0,25.0,0.695,1.0
4,POR,46.0,Rick Adelman,1993,4.0,1.0,3.0,0.25,82,51.0,31.0,0.622,3.0
5,POR,47.0,Rick Adelman,1994,4.0,1.0,3.0,0.25,82,47.0,35.0,0.573,4.0
6,GSW,49.0,Rick Adelman,1996,,,,,82,36.0,46.0,0.439,6.0
7,GSW,50.0,Rick Adelman,1997,,,,,82,30.0,52.0,0.366,7.0
8,SAC,52.0,Rick Adelman,1999,5.0,2.0,3.0,0.4,50,27.0,23.0,0.54,4.0
9,SAC,53.0,Rick Adelman,1900,5.0,2.0,3.0,0.4,82,44.0,38.0,0.537,5.0
10,SAC,54.0,Rick Adelman,2001,8.0,3.0,5.0,0.375,82,55.0,27.0,0.6709999999999999,2.0
11,SAC,55.0,Rick Adelman,2002,16.0,10.0,6.0,0.625,82,61.0,21.0,0.7440000000000001,1.0
12,SAC,56.0,Rick Adelman,2003,12.0,7.0,5.0,0.583,82,59.0,23.0,0.72,1.0
13,SAC,57.0,Rick Adelman,2004,12.0,7.0,5.0,0.583,82,55.0,27.0,0.6709999999999999,2.0
14,SAC,58.0,Rick Adelman,2005,5.0,1.0,4.0,0.2,82,50.0,32.0,0.61,2.0
15,SAC,59.0,Rick Adelman,2006,6.0,2.0,4.0,0.333,82,44.0,38.0,0.537,4.0
16,HOU,61.0,Rick Adelman,2008,6.0,2.0,4.0,0.333,82,55.0,27.0,0.6709999999999999,3.0
17,HOU,62.0,Rick Adelman,2009,13.0,7.0,6.0,0.5379999999999999,82,53.0,29.0,0.6459999999999999,2.0
18,HOU,63.0,Rick Adelman,2010,,,,,82,42.0,40.0,0.512,3.0
19,HOU,64.0,Rick Adelman,2011,,,,,82,43.0,39.0,0.524,5.0
20,MIN,65.0,Rick Adelman,2012,,,,,66,26.0,40.0,0.394,5.0
21,MIN,66.0,Rick Adelman,2013,,,,,82,31.0,51.0,0.378,5.0
22,MIN,67.0,Rick Adelman,2014,,,,,82,40.0,42.0,0.488,3.0
24,DET,42.0,Richie Adubato,1980,,,,,70,12.0,58.0,0.171,6.0
25,DAL,52.0,Richie Adubato,1990,3.0,0.0,3.0,0.0,71,42.0,29.0,0.5920000000000001,3.0
26,DAL,53.0,Richie Adubato,1991,,,,,82,28.0,54.0,0.341,6.0
27,DAL,54.0,Richie Adubato,1992,,,,,82,22.0,60.0,0.268,5.0
28,DAL,55.0,Richie Adubato,1993,,,,,29,2.0,27.0,0.069,6.0
